分类,子分类,网站名称,网站链接,描述
系统课程,实战,AI for Trading,https://www.udacity.com/course/artificial-intelligence-for-trading--ud501,优达学城的AI量化交易课程，教授AI在金融领域的应用
AI工具,通用模型,ChatGPT,https://chat.openai.com,OpenAI开发的对话模型，支持自然语言交互和多种创作任务
AI工具,通用模型,Claude,https://claude.ai,Anthropic开发的AI助手，擅长分析和写作，注重安全性和准确性
AI工具,通用模型,Gemini,https://gemini.google.com,Google最新的多模态AI模型，支持文本、图像、代码等多种输入
AI工具,通用模型,Perplexity,https://www.perplexity.ai,基于AI的智能搜索引擎，提供实时信息和准确引用
AI工具,通用模型,Learn About AI,https://learnabout.ai,Google开发的AI学习平台，提供互动式的AI知识学习体验
AI工具,图片,Midjourney,https://www.midjourney.com,强大的AI图像生成工具，特别擅长艺术风格和概念图的创作
AI工具,图片,DALL·E 3,https://labs.openai.com,OpenAI最新的图像生成模型，可以准确理解文本并创作高质量图像
AI工具,图片,Stable Diffusion,https://stability.ai,开源的图像生成模型，支持本地部署和自定义训练
AI工具,图片,Canva,https://www.canva.com/ai-image-generator,知名设计工具整合的AI图像生成功能，特别适合设计师使用
AI工具,编程,GitHub Copilot,https://github.com/features/copilot,基于OpenAI技术的AI编程助手，提供实时代码建议
AI工具,编程,Cursor,https://cursor.sh,专为开发者设计的AI驱动编辑器，支持代码解释和重构
AI工具,编程,Bolt,https://bolt.new,StackBlitz开发的AI开发助手，帮助快速构建Web应用
AI工具,音频,Whisper,https://openai.com/research/whisper,OpenAI的开源语音识别系统，支持多语言转录和翻译
AI工具,音频,ElevenLabs,https://elevenlabs.io,领先的AI语音合成平台，支持自然的多语言声音克隆
AI工具,音频,Murf,https://murf.ai,专业的AI配音工具，适合视频制作和内容创作
AI工具,音频,Descript,https://www.descript.com,创新的AI音频编辑工具，支持文本编辑音频内容
AI工具,视频,Runway,https://runwayml.com,专业的AI视频编辑工具，支持多种特效和视频生成
AI工具,视频,Synthesia,https://www.synthesia.io,AI数字人视频生成平台，适合教育和营销内容制作
AI工具,视频,Pika Labs,https://www.pika.art,新兴的AI视频创作工具，支持文本生成视频
AI工具,视频,HeyGen,https://www.heygen.com,专业的AI数字人平台，可快速制作营销和培训视频
